Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Vanga, Smt. Geetha Viswanath",#N/A,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Kakinada,Andhra Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.04,975,34,0,14,0,136,0,2,0,5,0,0,0,0,0,1,0
"Vasava, Shri Mansukhbhai Dhanjibhai",Male,Bharatiya Janata Party(BJP),Bharuch,Gujarat,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",63,23-May-19,In office,Sixth Term,94%,0,231,17,27,3,8,61,283,1,0,0,0,0,0,0,0,0,3
"Vasava, Shri Prabhubhai Nagarbhai",#N/A,Bharatiya Janata Party(BJP),Bardoli,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,17,4,3,44,273,0,1,0,0,0,0,0,0,2,5
"Ve., Shri  Vaithili",#N/A,Indian National Congress(INC),Puducherry,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,12,0,5,0,14,0,0,0,1,0,0,0,0,0,2,0
"Velusamy, Shri  ",Male,Dravida Munnetra Kazhagam(DMK),Dindigul,Tamil Nadu,Information Not Available,Information Not Available,53,23-May-19,In office,First Term,96%,0.12,174,4,0,3,0,53,0,0,0,0,0,0,0,0,0,1,0
"Venkatesan, Shri S",Male,Communist Party of India (Marxist)(CPI(M)),Madurai,Tamil Nadu,Information Not Available,Information Not Available,50,23-May-19,In office,First Term,78%,12.37,268,15,0,7,0,91,0,1,0,5,0,0,0,0,0,0,0
"Verma, Shri Bhanu Pratap Singh",Male,Bharatiya Janata Party(BJP),Jalaun,#N/A,Post Graduate,"M.A., L.L.B. 
Edcated at Bundelkhand University, Jhansi (Uttar Pradesh)",63,23-May-19,In office,Fifth Term,98%,#N/A,#N/A,26,118,11,54,38,119,0,1,0,2,1,2,2,0,3,15
"Verma, Shri Rajesh",Male,Bharatiya Janata Party(BJP),Sitapur,Uttar Pradesh,Post Graduate,"M.A. (Economics) 
Educated at Lucknow University, Lucknow and Kanpur University, Kanpur (Uttar Pradesh)",59,23-May-19,In office,Fourth Term,91%,8.34,759,8,15,3,1,46,244,1,1,0,1,0,0,0,0,2,8
"Verma, Smt. Rekha Aru",Female,Bharatiya Janata Party(BJP),Dhaurahra,Uttar Pradesh,Inter/ Higher Secondary,Intermediate,47,23-May-19,In office,Second Term,96%,7.67,233,49,53,39,32,36,209,2,1,0,1,0,0,0,0,1,5
"Vichare, Shri Rajan Baburao ",Male,Shiv Sena(SS),Thane,Maharashtra,Inter/ Higher Secondary,Inter/Higher Secondary,59,23-May-19,In office,Second Term,80%,3.69,127,16,55,12,46,116,512,1,5,0,0,0,0,0,0,2,1
"Vikhepatil, Dr. Sujay Radhakrish",#N/A,Bharatiya Janata Party(BJP),Ahmednagar,Maharashtra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.78,957,52,0,31,0,166,0,1,0,0,0,0,0,0,0,0,0
"Vishnu Prasad, Dr. M.K",Male,Indian National Congress(INC),Arani,Tamil Nadu,Information Not Available,Information Not Available,48,23-May-19,In office,First Term,86%,8.67,346,26,0,10,0,80,0,0,0,5,0,0,0,0,0,1,0
"Y, Shri Devend",#N/A,Bharatiya Janata Party(BJP),Bellary,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,0,4,0,37,0,0,0,0,0,0,0,0,0,1,0
"Yadav, Shri Akhilesh",Male,Samajwadi Party(SP),Azamgarh,#N/A,Post Graduate,"B.E., M.E.; Educated at University of Mysore, Mysore, Karnataka",47,23-May-19,In office,Fourth Term,34%,#N/A,#N/A,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yadav, Shri Ashok Ku",Male,Bharatiya Janata Party(BJP),Madhubani,Bihar,Doctorate,"M.A. PhD. Educated at Lalit Narayan Mithila University Darbhanga, Bihar and Aatma Ram Sanatan Dharm College, University of Delhi (South Campos), Delhi",50,23-May-19,In office,First Term,96%,6.91,129,7,0,7,0,1,0,0,0,0,0,0,0,0,0,2,0
"Yadav, Shri Dinesh Chand",Male,Janata Dal (United)(JD(U)),Madhepura,Bihar,Diploma Course,"D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",69,23-May-19,In office,Fourth Term,81%,2.15,323,14,0,8,0,17,0,0,0,0,0,0,0,0,0,0,0
"Yadav, Shri Giridhari",Male,Janata Dal (United)(JD(U)),Banka,Bihar,Post Graduate,"M.A., LL.B., Educated at Bhagalpur University, Bhagalpur (Bihar) and Dr. Hari Singh Gaur University, Sagar (Madhya Pradesh)",59,23-May-19,In office,Third Term,75%,0,253,5,0,1,0,114,0,2,0,0,0,0,0,0,0,2,0
"Yadav, Dr. Krishnapal Singh",Male,Bharatiya Janata Party(BJP),Guna,Madhya Pradesh,Doctorate,"B.A.M.S Educated at Bhaumulak Ayurvedic Mahavidyalaya, Nagpur",44,23-May-19,In office,First Term,95%,0,15,13,0,9,0,37,0,0,0,0,0,0,0,0,0,0,0
"Yadav, Shri Mulayam Singh",Male,Samajwadi Party(SP),Mainpuri,Uttar Pradesh,Post Graduate,"B.A., B.T., M.A. (Political Science); Educated at K.K. College, Etawah, A.K. College, Shikohabad and B.R. College, Agra University, Agra, Uttar Pradesh",80,23-May-19,In office,Seventh Term,65%,19.94,204,2,45,0,8,0,0,0,0,1,4,0,0,0,0,2,6
"Yadav, Shri Ram Kripal",Male,Bharatiya Janata Party(BJP),Pataliputra,Bihar,Professional Graduate,"B.A.(Hons.), LL.B. ; Educated at Magadh University, Patna (Bihar)",62,23-May-19,In office,Fifth Term,86%,0,165,28,42,18,10,24,1,0,0,2,0,0,1,0,0,3,1
"Yadav, Shri  Shyam Singh",#N/A,Bahujan Samaj Party(BSP),Jaunpur,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27,0,11,0,45,0,0,0,2,0,0,0,0,0,2,0
