Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"Baruah, Shri Prad",Male,Bharatiya Janata Party(BJP),Lakhimpur,#N/A,Diploma Course,"Diploma in Mech. Engg. In 1985 from Dibrugarh Politechnic, Assam, Passed H.S.L.C. from SEBA in 1980 from Silapathar R.H.S. School",55,23-May-19,In office,Second Term,93%,#N/A,#N/A,0,1,0,0,8,1,0,0,0,0,0,0,0,0,1,3
"Basavaraj, Shri Gangasandra Sidd",Male,Bharatiya Janata Party(BJP),Tumkur,Karnataka,Professional Graduate,"B.Sc., B.L.; Educated at First Grade College, Tumkur and Vidyodaya Law College, Tumkur, Karnataka",79,23-May-19,In office,Fifth Term,84%,10.37,580,4,0,0,0,33,0,2,0,0,0,0,0,0,0,1,0
"Basheer, Shri E. T. Mohammed",Male,Indian Union Muslim League(IUML),Ponnani,Kerala,Inter/ Higher Secondary,0,74,23-May-19,In office,Third Term,91%,0,151,47,97,4,11,61,319,1,0,19,30,0,5,0,0,0,2
"Beesetti , Dr. Venkata Satyavathi",#N/A,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Anakapalle,Andhra Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,5,29,0,13,0,47,0,1,0,4,0,0,0,0,0,1,0
"Bellana, Shri  Chandra Sekh",Male,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Vizianagaram,Andhra Pradesh,Graduate,"B.A., B.L., Educated at SDS College, Garividi and M.R. College, Vizianagaram",59,23-May-19,In office,First Term,78%,0.36,1015,11,0,4,0,91,0,0,0,1,0,0,0,0,0,1,0
"Beniwal, Shri Hanu",Male,Rashtriya Loktantrik Party(RLP),Nagaur,Rajasthan,Professional Graduate,"B.A. LLB., Diploma in Co-operative
Educated at Rajasthan University",48,23-May-19,In office,First Term,94%,0.5,388,77,0,21,0,92,0,1,0,16,0,1,0,1,0,1,0
"Benny, Shri Beh",Male,Indian National Congress(INC),Chalakudy,Kerala,Graduate,"B.Com., Educated at Sri Sankara College, Kalady, Ernamulam, Kerala",68,23-May-19,In office,First Term,91%,1.16,388,28,0,10,0,97,0,1,0,4,0,0,0,0,0,2,0
"Bhabhor, Shri Jaswantsinh Sumanbhai",Male,Bharatiya Janata Party(BJP),Dahod,#N/A,Graduate,"B.A., B.Ed. Educated at Nalini & Arvind Arts College, Vallabh Vidhya Nagar, Anand, Gujarat and N.C.E.R.T. College, Bhopal, Madhya Pradesh",54,23-May-19,In office,Second Term,96%,#N/A,#N/A,8,11,0,0,113,141,0,2,0,0,0,0,0,0,1,2
"Bhagat, Shri Sudarsh",#N/A,Bharatiya Janata Party(BJP),Lohardaga,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,28,0,0,12,0,0,0,0,1,0,0,0,0,1,0
"Bhagirath Chaudhary, Shri  ",Male,Bharatiya Janata Party(BJP),Ajmer,#N/A,Information Not Available,Information Not Available,66,23-May-19,In office,First Term,100%,#N/A,#N/A,32,0,14,0,38,0,2,0,0,0,1,0,0,0,1,0
"Bhamre, Dr. Subhash R",#N/A,Bharatiya Janata Party(BJP),Dhule,Maharashtra,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,209,13,40,1,0,278,210,3,4,0,0,0,0,0,1,2,1
"Bhargava, Shri Ramakant",Male,Bharatiya Janata Party(BJP),Vidisha,Madhya Pradesh,Information Not Available,Information Not Available,66,23-May-19,In office,First Term,74%,0,525,2,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
"Bhatia, Shri Sanjay",Male,Bharatiya Janata Party(BJP),Karnal,Haryana,Information Not Available,Information Not Available,53,23-May-19,In office,First Term,98%,5.15,322,6,0,5,0,16,0,0,0,0,0,0,0,0,0,1,0
"Bhatt, Shri  Ajay",Male,Bharatiya Janata Party(BJP),Nainital-Udhamsingh Nagar,#N/A,Professional Graduate,"BA, LLB Educated at Kumaoun University Nanital and Constituent College Almora",59,23-May-19,In office,First Term,99%,#N/A,#N/A,39,0,15,0,30,0,2,0,1,0,3,0,0,0,4,0
"Bhatt, Smt. Ranjanben Dhananjay",Female,Bharatiya Janata Party(BJP),Vadodara,Gujarat,Inter/ Higher Secondary,0,58,23-May-19,In office,Second Term,88%,10.72,836,16,31,6,8,99,417,0,0,0,1,0,0,0,0,1,0
"Bhavana Gawali (Patil),  Ms. ",Female,Shiv Sena(SS),Yavatmal-Washim,Maharashtra,Graduate,"B.A. (Marathi); Educated at Amravati University, Amravati (Maharashtra) ",47,23-May-19,In office,Fifth Term,23%,0,1,2,30,2,23,3,341,0,5,0,0,0,0,0,0,1,5
"Bholanath (B.P. Saroj), Shri  ",Male,Bharatiya Janata Party(BJP),Machhlishahr,#N/A,Information Not Available,Information Not Available,59,23-May-19,In office,First Term,100%,#N/A,#N/A,6,0,6,0,11,0,0,0,0,0,0,0,0,0,1,0
"Bhoumik, Km. Prati",Female,Bharatiya Janata Party(BJP),Tripura West,Tripura,Graduate,"Graduate (Bio-Science) Educated at Women's College, Agartala, University of Tripura",51,23-May-19,In office,First Term,89%,0,10,15,0,9,0,148,0,2,0,1,0,0,0,0,0,2,0
"Bidhuri, Shri Ramesh",Male,Bharatiya Janata Party(BJP),South Delhi,Delhi,Professional Graduate,"B.Com., LL.B.",59,23-May-19,In office,Second Term,94%,0,1,31,101,11,55,25,188,2,2,3,10,0,8,1,2,3,9
"Birla, Shri O",Male,Bharatiya Janata Party(BJP),Kota,#N/A,Post Graduate,M.Com,57,23-May-19,In office,Second Term,N/A,#N/A,#N/A,189,166,18,73,0,673,0,4,4,10,0,8,0,2,3,9
"Bisen, Dr. Dhal Singh",Male,Bharatiya Janata Party(BJP),Balaghat,#N/A,Diploma Course,"A.V.M.S., D.H.B. (Ayurved Vigyanacharya with Modern Medicine and Surgery, Diploma in Trauma and Biochemistry) Educated at Chhattisgarh Ayurvedic College, Raipur, Chhattisgarh",68,23-May-19,In office,First Term,99%,#N/A,#N/A,22,0,9,0,30,0,3,0,1,0,0,0,0,0,0,0
"Bisoyi, Smt. Pramil",Female,Biju Janata Dal(BJD),Aska,Odisha,Under Matric,"Primary Education Educated at Karnoli Primary School, Ganjam, Odisha",72,23-May-19,In office,First Term,86%,2.62,1568,2,0,2,0,20,0,0,0,0,0,0,0,0,0,1,0
"Bista, Shri  Raju",Male,Bharatiya Janata Party(BJP),Darjeeling,West Bengal,Graduate,"B.A. Educated at Presidency College, Motbung Manipur University",34,23-May-19,In office,First Term,99%,4.64,291,39,0,15,0,78,0,0,0,4,0,0,0,0,0,1,0
"Bohra, Shri Ramch",Male,Bharatiya Janata Party(BJP),Jaipur,#N/A,Inter/ Higher Secondary,Higher Secondary,64,23-May-19,In office,Second Term,95%,#N/A,#N/A,26,115,13,75,114,314,3,1,1,1,0,0,0,0,1,3
"Bordoloi, Shri Pradyut",Male,Indian National Congress(INC),Nawgong,#N/A,Information Not Available,Information Not Available,60,23-May-19,In office,First Term,99%,#N/A,#N/A,10,0,3,0,72,0,0,0,3,0,0,0,0,0,2,0
"Borlakunta, Shri  Venkatesh Neth",#N/A,Telangana Rashtra Samithi(TRS),Peddapalle,Telangana,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.59,576,5,0,2,0,66,0,3,0,1,0,0,0,0,0,0,0
"Chahar, Shri  Rajku",Male,Bharatiya Janata Party(BJP),Fatehpur Sikri,Uttar Pradesh,Graduate,B.Com,53,23-May-19,In office,First Term,94%,11.42,118,5,0,2,0,23,0,2,0,0,0,0,0,0,0,0,0
"Chakraborty, Ms. Mimi",Female,All India Trinamool Congress(AITC),Jadavpur,West Bengal,Graduate,"Bachelor of Arts (B.A.) Educated at Asutosh College, University of Kolkata",31,23-May-19,In office,First Term,25%,10.46,474,5,0,3,0,33,0,0,0,0,0,0,0,0,0,0,0
"Chandel, Kunwar Pushpendra Singh",Male,Bharatiya Janata Party(BJP),Hamirpur,Himachal Pradesh,Graduate,"B.A.; Educated at Doaba College, Jalandhar, Punjab",45,23-May-19,In office,Fourth Term,N/A,0,162,455,1872,431,1758,153,495,0,2,0,1,5,29,2,0,2,6
"Chandra, Shri  Girish",Male,Bahujan Samaj Party(BSP),Nagina,#N/A,Information Not Available,Information Not Available,56,23-May-19,In office,First Term,93%,#N/A,#N/A,47,0,32,0,9,0,0,0,2,0,0,0,0,0,2,0
"Chatterjee, Smt.  Locket",Female,Bharatiya Janata Party(BJP),Hooghly,West Bengal,Graduate,B.Sc. Educated at Jogmaya Devi College,45,23-May-19,In office,First Term,99%,20.16,258,30,0,11,0,55,0,1,0,2,0,0,0,0,0,2,0
"Chaudhary, Shri ",Male,Bharatiya Janata Party(BJP),Pali,Rajasthan,Professional Graduate,"B.Sc., L.L.B, studied at Jai Narayan Vyas University, Jodhpur (Rajasthan)",67,23-May-19,In office,Second Term,96%,3.12,81,50,456,6,285,154,397,2,1,10,28,7,23,0,2,5,6
"Chaudhary, Shri Pankaj",Male,Bharatiya Janata Party(BJP),Maharajganj,Bihar,Post Graduate,M.A.,61,23-May-19,In office,Second Term,100%,0.07,244,16,33,5,9,92,341,3,5,0,1,0,2,0,0,1,8
"Chaudhary, Shri  Pradeep Ku",Male,Bharatiya Janata Party(BJP),Kairana,#N/A,Information Not Available,Information Not Available,51,23-May-19,In office,First Term,100%,#N/A,#N/A,14,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0
"Chaudhary, Shri Santokh Singh",Male,Indian National Congress(INC),Jalandhar,#N/A,Professional Graduate,"B.A., L.L.B.",74,23-May-19,In office,Second Term,94%,#N/A,#N/A,12,31,7,21,44,77,1,0,2,1,0,2,0,1,1,8
"Chaudhuri, Km. D",Female,Bharatiya Janata Party(BJP),Raiganj,West Bengal,Post Graduate,"M.A. Educated at Burdwan University, Burdwan, West Bengal",49,23-May-19,In office,First Term,N/A,3.62,379,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chauhan, Shri Devusinh Jesingbhai",Male,Bharatiya Janata Party(BJP),Kheda,Gujarat,Inter/ Higher Secondary,Information not available,55,23-May-19,In office,Second Term,90%,0.05,419,14,20,3,2,70,326,0,3,0,0,0,1,0,0,1,5
"Chauhan, Shri Nand Kumar Singh",Male,Bharatiya Janata Party(BJP),Khandwa,Madhya Pradesh,Graduate,"B.A. Educated at Seva Sadan Mahavidyalaya, Burhanpur",68,23-May-19,In office,Sixth Term,85%,0,137,7,7,3,0,7,6,1,0,0,2,0,0,0,0,2,2
"Chauhan, Shri Nihal Chand",Male,Bharatiya Janata Party(BJP),Ganganagar,#N/A,Graduate,"B.A. 
Educated at Rai Singh Nagar (Ajmer University)",49,23-May-19,In office,Fourth Term,90%,#N/A,#N/A,36,44,13,16,118,163,2,0,2,3,4,4,1,0,3,0
"Chavda, Shri Vinod",Male,Bharatiya Janata Party(BJP),Kachchh,#N/A,Professional Graduate,"L.L.B., B.Ed.",41,23-May-19,In office,Second Term,88%,#N/A,#N/A,11,8,3,6,10,226,1,5,0,0,0,0,0,0,1,4
"Chazhikadan, Shri Th",#N/A,Kerala Congress (M)(KC(M)),Kottayam,Kerala,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,734,26,0,6,0,61,0,0,0,2,0,0,0,0,0,1,0
"Chellakumar, Dr. A",#N/A,Indian National Congress(INC),Krishnagiri,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,69,18,0,14,0,42,0,0,0,0,0,0,0,0,0,2,0
"Chidambaram, Shri Karti ",Male,Indian National Congress(INC),Sivaganga,Tamil Nadu,Professional Graduate,"Bachelors in Business Administration (B.B.A.), Bachelors in Arts (Law) Educated at University of Texas, Austin and Cambridge University, U.K.",48,23-May-19,In office,First Term,80%,6.76,263,8,0,4,0,32,0,0,0,3,0,0,0,0,0,1,0
"Chikhalikar, Shri Prataprao  Patil",Male,Bharatiya Janata Party(BJP),Nanded,Maharashtra,Inter/ Higher Secondary,Higher Secondary,59,23-May-19,In office,First Term,61%,5.7,368,6,0,3,0,59,0,1,0,0,0,0,0,0,0,1,0
"Chinraj, Shri A.K",Male,Dravida Munnetra Kazhagam(DMK),Namakkal,Tamil Nadu,Information Not Available,Information Not Available,55,23-May-19,In office,First Term,70%,2.47,239,7,0,4,0,125,0,0,0,0,0,0,0,0,0,1,0
"Chinta Anuradha, Smt. ",Female,Yuvajana Sramika Rythu Congress Party(YSR Congress Party),Amalapuram,#N/A,Graduate,"B.A. Educated at Lalitha Degree College, Osmania University, Hyderabad (now Telangana), Andhra Pradesh",47,23-May-19,In office,First Term,63%,#N/A,#N/A,7,0,3,0,28,0,0,0,1,0,0,0,0,0,1,0
"Choubey, Shri Ashwini Ku",Male,Bharatiya Janata Party(BJP),Buxar,Bihar,Graduate,B.Sc.(Hons.) Zoology,67,23-May-19,In office,Second Term,N/A,8.72,150,17,193,0,126,0,152,0,0,2,3,0,4,0,1,0,8
"Choudhary, Shri Chandra Prakash",Male,AJSU Party(AJSU),Giridih,Jharkhand,Graduate,"B.Com, Educated at Ramgarh Mahavidyalaya, Ramgarh, Jharkhand",53,23-May-19,In office,First Term,73%,0,39,6,0,3,0,50,0,1,0,0,0,0,0,0,0,2,0
"Choudhary, Shri Kailash",Male,Bharatiya Janata Party(BJP),Barmer,Rajasthan,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,N/A,0,34,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Choudhury, Shri Abu Hasem Kh",Male,Indian National Congress(INC),Maldaha Dakshin,West Bengal,Graduate,"Graduate (Degree in Industrial Psychology)
Educated at Northampton College of Technology, England and University of Guleph, Ontario, Canada",82,23-May-19,In office,Fourth Term,81%,7.29,536,4,2,4,2,11,0,0,0,0,0,0,0,0,0,1,0
"Chowdhury, Shri Adhir Ranj",Male,Indian National Congress(INC),Baharampur,West Bengal,Under Matric,"Educated at I.C. Institute, Berhampore, West Bengal",64,23-May-19,In office,Fifth Term,96%,0,88,221,144,32,38,27,186,0,0,52,29,4,10,1,6,3,6
"Chudasama, Shri Rajeshbhai Naranbhai",Male,Bharatiya Janata Party(BJP),Junagadh,Gujarat,Inter/ Higher Secondary,Information not available,38,23-May-19,In office,Second Term,71%,0.75,543,3,7,1,0,142,546,2,3,0,0,0,0,0,0,1,0
"Dabhi, Shri Bharatsinhji Shankarji",Male,Bharatiya Janata Party(BJP),Patan,Gujarat,Graduate,Information Not Available,65,23-May-19,In office,First Term,80%,12.11,351,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
"Damor, Shri Guman Singh",Male,Bharatiya Janata Party(BJP),Ratlam,#N/A,Information Not Available,Information Not Available,63,23-May-19,In office,First Term,94%,#N/A,#N/A,9,0,6,0,9,0,2,0,1,0,1,0,0,0,1,0
"Danve, Shri Raosaheb Dad",Male,Bharatiya Janata Party(BJP),Jalna,Maharashtra,Under Graduate,"Educated at J.E.S., Jalna, Maharashtra",65,23-May-19,In office,Fifth Term,N/A,3.84,158,16,14,0,1,0,102,0,0,3,0,0,0,0,0,0,6
"Darbar, Shri Chhatar Singh",Male,Bharatiya Janata Party(BJP),Dhar,#N/A,Professional Graduate,"M.A., LL.B. Educated at Government College of Arts and Commerce, Indore and Christian College, Indore",66,23-May-19,In office,Third Term,79%,#N/A,#N/A,6,0,0,0,17,0,1,0,0,0,0,0,0,0,2,0
"Das, Shri Pallab Loch",Male,Bharatiya Janata Party(BJP),Tezpur,Assam,Graduate,"B.Com. Educated at Guwahati Commerce College, Guwahati University",41,23-May-19,In office,First Term,91%,0.05,455,11,0,5,0,25,0,0,0,5,0,0,0,0,0,2,0
"Dastidar, Dr. (Smt.) Kakoli Ghosh",Female,All India Trinamool Congress(AITC),Barasat,West Bengal,Professional Post Graduate,"M.B.B.S., Post Graduate Training in Obstetric Ultrasound; Educated at Auxilium Convent, Loreto House, R. G. Kar Medical College, King's College, London",60,23-May-19,In office,Third Term,75%,0.02,231,9,22,3,1,1,20,0,2,3,5,0,2,0,0,2,0
"Deb, Shri Nitesh G",Male,Bharatiya Janata Party(BJP),Sambalpur,Odisha,Inter/ Higher Secondary,12th Pass Educated at Maharashtra State Secondary & Higher Secondary Board,48,23-May-19,In office,First Term,98%,0,257,12,0,5,0,43,0,0,0,0,0,0,0,0,0,1,0
"Devi, Smt. R",Female,Bharatiya Janata Party(BJP),Sheohar,#N/A,Professional Graduate,"B.A., LL.B.; S.K.J.Law College, Bihar University, Muzaffarpur and Jaintpur College, Bihar University, Vaishali",71,23-May-19,In office,Fourth Term,98%,#N/A,#N/A,52,145,20,59,111,581,5,11,2,5,4,7,0,0,2,13
"Devi, Smt. V",#N/A,Lok Jan Shakti Party(LJSP),Vaishali,Bihar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,6,6,0,3,0,40,0,0,0,0,0,0,0,0,0,0,0
"Dhaduk, Shri Rameshbhai Lavjibhai",Male,Bharatiya Janata Party(BJP),Porbandar,#N/A,Matric,10th Pass,58,23-May-19,In office,First Term,68%,#N/A,#N/A,6,0,2,0,27,0,0,0,0,0,0,0,0,0,0,0
"Dhanorkar, Shri Balubhau Narayanrao (Alias Suresh)",Male,Indian National Congress(INC),Chandrapur,Maharashtra,Information Not Available,Information Not Available,45,23-May-19,In office,First Term,54%,0,204,12,0,6,0,104,0,1,0,0,0,0,0,0,0,1,0
"Dharambir Singh, Shri ",Male,Bharatiya Janata Party(BJP),Bhiwani-Mahendragarh,#N/A,Graduate,Graduate,65,23-May-19,In office,Second Term,98%,#N/A,#N/A,12,13,2,3,91,85,3,1,1,2,0,1,0,0,1,5
"Dharmapuri, Shri Arvind",Male,Bharatiya Janata Party(BJP),Nizamabad,Telangana,Information Not Available,Information Not Available,44,23-May-19,In office,First Term,94%,8.14,533,3,0,2,0,11,0,0,0,0,0,0,0,0,0,1,0
"Dhotre, Shri Sanjay Sh",Male,Bharatiya Janata Party(BJP),Akola,Maharashtra,Professional Graduate,"B.E. (Mech.); Educated at Government College of Engineering, Amravati, Maharashtra",61,23-May-19,In office,Fourth Term,N/A,0,497,32,28,0,12,0,628,0,9,2,1,0,1,0,0,0,12
"Diler, Shri  Rajv",Male,Bharatiya Janata Party(BJP),Hathras,#N/A,Under Matric,"Under Matric, Educated at Lakshmi Raj Inter College, Gabhana, Aligarh",62,23-May-19,In office,First Term,100%,#N/A,#N/A,4,0,2,0,14,0,0,0,0,0,0,0,0,0,1,0
"Dilip, Shri Saiki",Male,Bharatiya Janata Party(BJP),Mangaldoi,#N/A,Graduate,"B.Com, Educated at Guwahati Commerce College",47,23-May-19,In office,First Term,78%,#N/A,#N/A,17,0,8,0,113,0,1,0,1,0,0,0,0,0,1,0
Dr. DNV Senthilkumar S,Male,Dravida Munnetra Kazhagam(DMK),Dharmapuri,#N/A,Information Not Available,Information Not Available,43,23-May-19,In office,First Term,100%,#N/A,#N/A,84,0,59,0,165,0,0,0,5,0,0,0,0,0,0,0
Dr. Ramesh Chand Bind,Male,Bharatiya Janata Party(BJP),Bhadohi,Uttar Pradesh,Professional Graduate,B.A.M.S.,46,23-May-19,In office,First Term,96%,0,18,2,0,1,0,4,0,0,0,0,0,0,0,0,0,1,0
Dr. T. Sumathy (a) Thamizhachi Thangapandi,#N/A,Dravida Munnetra Kazhagam(DMK),Chennai South,Tamil Nadu,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.61,94,30,0,7,0,82,0,0,0,1,0,0,0,0,0,1,0
"Dubey, Dr. Nishikant ",Male,Bharatiya Janata Party(BJP),Godda,Jharkhand,Professional Post Graduate,"B.A. (H), M.B.A.; Educated at Marwari College Bhagalpur (Bihar) and F.M.S. Delhi University (Delhi) ",51,23-May-19,In office,Third Term,100%,0,1,121,415,51,205,132,677,0,11,16,21,6,60,1,7,1,14
"Dubey, Shri  Vijay Ku",#N/A,Bharatiya Janata Party(BJP),Kushi Nagar,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,0,9,0,111,0,1,0,0,0,0,0,0,0,1,0
"Duggal, Smt. Sunit",#N/A,Bharatiya Janata Party(BJP),Sirsa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,17,0,9,0,11,0,0,0,1,0,0,0,0,0,2,0
"Dwivedi, Shri Harish",Male,Bharatiya Janata Party(BJP),Basti,#N/A,Post Graduate,Post Graduate,46,23-May-19,In office,Second Term,91%,#N/A,#N/A,14,31,9,16,100,325,2,2,1,3,0,1,0,0,2,8
"Firojiya, Shri Anil",Male,Bharatiya Janata Party(BJP),Ujjain,#N/A,Graduate,"B.Com Educated at Madhav Arts and Commerce College, Ujjain, Madhya Pradesh",49,23-May-19,In office,First Term,83%,#N/A,#N/A,15,0,9,0,109,0,3,0,1,0,0,0,0,0,1,0
"Gaddigoudar, Shri Parvatagouda Chandanagoud",Male,Bharatiya Janata Party(BJP),Bagalkot,Karnataka,Professional Graduate,"B.A., LLB; Educated at Basaveshwar Arts College, Bagalkot and Raja Lokhamagouda College, Belgaum",69,23-May-19,In office,Fourth Term,98%,0.01,103,9,10,1,1,72,94,1,0,0,0,0,0,0,0,3,14
"Gadkari, Shri Nitin Jai",Male,Bharatiya Janata Party(BJP),Nagpur,Maharashtra,Post Graduate,"M.Com., LL.B. and Diploma in Business Management",63,23-May-19,In office,Second Term,N/A,0,94,9,28,0,0,0,0,0,0,4,15,0,0,0,0,0,0
"Galla, Shri Jayadev",Male,Telugu Desam Party(TDP),Guntur,Andhra Pradesh,Graduate,Graduate,54,23-May-19,In office,Second Term,90%,0,1,52,126,10,25,114,494,2,3,13,25,0,7,0,0,2,10
"Gambhir, Shri  Gaut",Male,Bharatiya Janata Party(BJP),East Delhi,#N/A,Information Not Available,Information Not Available,38,23-May-19,In office,First Term,65%,#N/A,#N/A,4,0,1,0,61,0,0,0,0,0,1,0,0,0,1,0
"Gandhi, Shri Feroze Varu",Male,Bharatiya Janata Party(BJP),Pilibhit,Uttar Pradesh,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",40,23-May-19,In office,Third Term,99%,0,5,6,24,1,6,88,428,2,4,2,1,1,9,0,0,1,6
"Gandhi, Smt. Maneka Sanjay",Female,Bharatiya Janata Party(BJP),Sultanpur,#N/A,Inter/ Higher Secondary,"I.S.C.; Educated at Lawrence School, Sanawar, Himachal Pradesh",64,23-May-19,In office,Eighth Term,80%,#N/A,#N/A,0,23,0,0,46,0,1,0,0,9,0,0,0,0,1,0
"Gandhi, Shri Rahul",Male,Indian National Congress(INC),Wayanad,Kerala,Post Graduate,"M.Phil. (Development Economics); Educated at Trinity College, Cambridge University (UK) .",50,23-May-19,In office,Fourth Term,56%,0.44,48,2,17,0,1,58,0,2,0,0,0,0,0,0,0,1,5
"Gandhi, Smt. Soni",#N/A,Indian National Congress(INC),Rae Bareli,Uttar Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.22,210,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"Ganeshamurthi, Shri A",Male,Dravida Munnetra Kazhagam(DMK),Erode,Tamil Nadu,Graduate,"B.A. (Economics); Educated at Thayagaraja College, Chennai, Tamil Nadu.",73,23-May-19,In office,Third Term,85%,12.43,355,12,0,2,0,95,0,1,0,0,0,0,0,0,0,1,0
"Gangapuram, Shri  Kishan Reddy",Male,Bharatiya Janata Party(BJP),Secunderabad,Telangana,Diploma Course,"Diploma in Tool Engineering, Educated at Central Institute of Tool Engineering , Balanagar, Hyderabad, Telangana",60,23-May-19,In office,First Term,N/A,4.17,184,49,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
"Gangwar, Shri Santosh Ku",Male,Bharatiya Janata Party(BJP),Bareilly,Uttar Pradesh,Professional Graduate,"B.Sc., LL.B.; Educated at Agra University and Rohilkhand University, Bareilly (Uttar Pradesh)",71,23-May-19,In office,Eighth Term,N/A,0,309,33,98,0,0,0,0,0,0,20,13,0,0,0,0,0,0
"Gao, Shri Tapi",#N/A,Bharatiya Janata Party(BJP),Arunachal East,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21,0,13,0,26,0,0,0,1,0,0,0,0,0,1,0
"Gautam, Shri Satish Ku",Male,Bharatiya Janata Party(BJP),Aligarh,Uttar Pradesh,Matric,Matric,48,23-May-19,In office,Second Term,99%,0.19,59,3,13,3,10,0,37,0,0,0,0,0,0,0,0,1,6
"Gavit, Dr. Heena Vijayku",Female,Bharatiya Janata Party(BJP),Nandurbar,#N/A,Professional Post Graduate,"M.B.B.S., M.D.",33,23-May-19,In office,Second Term,90%,#N/A,#N/A,31,58,11,31,204,1105,2,6,2,6,0,0,0,0,5,6
"Gavit, Shri Rajendra Dhedya ",Male,Shiv Sena(SS),Palghar,#N/A,Graduate,"B.A. Educated at Mumbai University, Maharashtra",53,23-May-19,In office,Second Term,74%,#N/A,#N/A,12,0,7,0,51,8,2,0,1,0,0,0,0,0,1,1
"General (Retd.), Dr. Vijay Kumar Singh  ",#N/A,Bharatiya Janata Party(BJP),Ghaziabad,Uttar Pradesh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.11,47,9,43,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Gill, Shri Jasbir Singh",Male,Indian National Congress(INC),Khadoor Sahib,Punjab,Information Not Available,Information Not Available,Information not available,23-May-19,In office,First Term,96%,5.75,642,35,0,16,0,51,0,0,0,8,0,0,0,0,0,0,0
"Gnanathiraviam, Shri S",Male,Dravida Munnetra Kazhagam(DMK),Tirunelveli,Tamil Nadu,Information Not Available,Information Not Available,56,23-May-19,In office,First Term,80%,20.9,121,9,0,2,0,53,0,2,0,0,0,0,0,0,0,1,0
"Godse, Shri Hemant Tuk",Male,Shiv Sena(SS),Nashik,Maharashtra,Diploma Course,Diploma in Civil Engineering,50,23-May-19,In office,Second Term,94%,0,198,7,31,3,24,84,445,3,5,1,0,0,0,0,0,1,10
"Gogoi, Shri Gaurav",Male,Indian National Congress(INC),Kaliabor,Assam,Post Graduate,"Bachelor of Technology(Electrical Engineering), M.A. (Public Administration)",38,23-May-19,In office,Second Term,80%,0,191,34,89,10,30,55,304,0,3,12,10,0,7,0,0,3,8
"Gogoi, Shri Topon Ku",#N/A,Bharatiya Janata Party(BJP),Jorhat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0
"Goswami, Shri Dulal Chand",Male,Janata Dal (United)(JD(U)),Katihar,Bihar,Graduate,"B.A. (Pol. Science), Educated at Sharda College, Shalmari, Katihar, Bihar",52,23-May-19,In office,First Term,94%,1.1,16,16,0,10,0,31,0,3,0,2,0,0,0,0,0,0,0
"Gowda, Shri Devaragunda Venkappa Sadanand",Male,Bharatiya Janata Party(BJP),Bangalore North,Karnataka,Professional Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",67,23-May-19,In office,Fourth Term,N/A,0,11,2,90,0,1,0,0,0,0,1,44,0,5,0,0,0,0
